episode,epoch,publisher,trans_id,reward,delay_steps,total_expense
0,0,20,,0.0,0,0.0
0,0,21,135082.0,2.0098758300689736,10,0.0
0,0,22,135083.0,-0.7815060714070731,10,1.1041057083223258
0,0,23,,0.0,0,0.0
0,0,24,135084.0,-0.4,10,0.0
0,0,25,135085.0,-1.0989377601121153,20,1.6989377601121152
0,0,26,135086.0,-0.4,10,0.0
0,0,27,135087.0,-0.005206640648048211,20,1.6052066406480483
0,0,28,135088.0,0.6,10,0.0
0,0,29,135089.0,-0.9810175046627592,20,3.4098758300689735
0,1,20,135090.0,-0.4,10,0.0
0,1,21,135091.0,-0.4,10,0.0
0,1,22,135092.0,-1.056908760832048,10,0.6569087608320479
0,1,23,,0.0,0,0.0
0,1,24,135093.0,-0.4,10,0.0
0,1,25,135094.0,-1.8158463582183915,20,1.4158463582183916
0,1,26,135095.0,-0.4,10,0.0
0,1,27,135096.0,-1.7600792400208958,20,1.3600792400208959
0,1,28,135097.0,2.6,10,0.0
0,1,29,135098.0,-1.769772389146441,20,2.8288583254062143
0,2,20,135099.0,-0.4,10,0.0
0,2,21,135100.0,2.399126141179949,10,0.0
0,2,22,135101.0,-0.03247618163615196,10,0.7225996369152528
0,2,23,,0.0,0,0.0
0,2,24,135102.0,0.678020919945778,10,0.0
0,2,25,135103.0,2.2433825357236206,20,1.2293788187453698
0,2,26,135104.0,-0.4,10,0.0
0,2,27,135105.0,0.3795224041946397,20,2.2204775958053604
0,2,28,135106.0,-0.4,10,0.0
0,2,29,135107.0,-2.5698294457043347,20,3.799126141179949
0,3,20,135108.0,-0.4,10,0.0
0,3,21,135109.0,0.7238449962283847,10,0.0
0,3,22,135110.0,-0.5625576688933742,10,0.16255766889337422
0,3,23,,0.0,0,0.0
0,3,24,135111.0,-0.4,10,0.0
0,3,25,135112.0,0.1239388016009646,20,1.6522837586636299
0,3,26,135113.0,-0.4,10,0.0
0,3,27,135114.0,-2.5762225602645943,20,2.1762225602645944
