episode,epoch,publisher,trans_id,reward,delay_steps,total_expense
0,0,30,,0.0,0,0.0
0,0,31,227076.0,-0.8,10,0.0
0,0,32,227077.0,-0.8,10,0.0
0,0,33,227078.0,-1.0512428802876097,10,0.25124288028760966
0,0,34,,0.0,0,0.0
0,0,35,,0.0,0,0.0
0,0,36,,0.0,0,0.0
0,0,37,227079.0,-0.8,10,0.0
0,0,38,227080.0,-0.5595892221065961,10,0.9938606001203987
0,0,39,,0.0,0,0.0
0,1,30,,0.0,0,0.0
0,1,31,227081.0,-0.8,10,0.0
0,1,32,227082.0,-0.09356227853205246,10,0.0
0,1,33,227083.0,-1.5064377214679476,10,0.7064377214679476
0,1,34,,0.0,0,0.0
0,1,35,,0.0,0,0.0
0,1,36,,0.0,0,0.0
0,1,37,227084.0,-0.8,10,0.0
0,1,38,227085.0,-0.8079135272660072,10,1.0933055384102204
0,1,39,,0.0,0,0.0
0,2,30,,0.0,0,0.0
0,2,31,227086.0,-0.8,10,0.0
0,2,32,227087.0,-0.8,10,0.0
0,2,33,227088.0,-0.8824625582777719,10,0.0824625582777718
0,2,34,,0.0,0,0.0
0,2,35,,0.0,0,0.0
0,2,36,,0.0,0,0.0
0,2,37,227089.0,-0.8,10,0.0
0,2,38,227090.0,-1.8853920111442133,10,1.0853920111442132
0,2,39,,0.0,0,0.0
0,3,30,,0.0,0,0.0
0,3,31,227091.0,-0.8,10,0.0
0,3,32,227092.0,-0.8,10,0.0
0,3,33,227093.0,-0.8323167816245413,10,0.03231678162454121
0,3,34,,0.0,0,0.0
0,3,35,,0.0,0,0.0
0,3,36,,0.0,0,0.0
0,3,37,227094.0,-0.8,10,0.0
0,3,38,227095.0,0.22151852414731588,10,0.12812469842734303
0,3,39,,0.0,0,0.0
0,4,30,,0.0,0,0.0
0,4,31,227096.0,-0.8,10,0.0
0,4,32,227097.0,-0.8,10,0.0
0,4,33,227098.0,-0.8,10,0.0
0,4,34,,0.0,0,0.0
0,4,35,,0.0,0,0.0
0,4,36,,0.0,0,0.0
0,4,37,227099.0,-0.8,10,0.0
0,4,38,227100.0,-0.9409658396035823,10,0.14096583960358228
0,4,39,,0.0,0,0.0
0,5,30,,0.0,0,0.0
0,5,31,227101.0,-0.8,10,0.0
0,5,32,227102.0,-0.7504785205689668,10,0.0
0,5,33,227103.0,-0.8,10,0.0
0,5,34,,0.0,0,0.0
0,5,35,,0.0,0,0.0
0,5,36,,0.0,0,0.0
0,5,37,227104.0,-0.8,10,0.0
0,5,38,227105.0,-1.0554647501165775,10,0.6500026315080419
0,5,39,,0.0,0,0.0
0,6,30,,0.0,0,0.0
0,6,31,227106.0,-0.8,10,0.0
0,6,32,227107.0,-0.8,10,0.0
0,6,33,227108.0,-0.8,10,0.0
0,6,34,,0.0,0,0.0
0,6,35,,0.0,0,0.0
0,6,36,,0.0,0,0.0
0,6,37,227109.0,-0.8,10,0.0
0,6,38,227110.0,-1.1587999159016422,10,0.3587999159016422
0,6,39,,0.0,0,0.0
0,7,30,,0.0,0,0.0
0,7,31,227111.0,-0.8,10,0.0
0,7,32,227112.0,-0.8,10,0.0
0,7,33,227113.0,-0.8,10,0.0
0,7,34,,0.0,0,0.0
0,7,35,,0.0,0,0.0
0,7,36,,0.0,0,0.0
0,7,37,227114.0,-0.8,10,0.0
0,7,38,227115.0,-0.2263762441124057,10,0.14084067516497484
0,7,39,,0.0,0,0.0
0,8,30,,0.0,0,0.0
0,8,31,227116.0,-0.8,10,0.0
0,8,32,227117.0,-0.8,10,0.0
0,8,33,227118.0,-0.8,10,0.0
0,8,34,,0.0,0,0.0
0,8,35,,0.0,0,0.0
0,8,36,,0.0,0,0.0
0,8,37,227119.0,-0.8,10,0.0
0,8,38,227120.0,-0.5140093643346527,10,0.3945378813914645
0,8,39,,0.0,0,0.0
0,9,30,,0.0,0,0.0
0,9,31,227121.0,-0.8,10,0.0
0,9,32,227122.0,-0.8,10,0.0
0,9,33,227123.0,-0.8495214794310333,10,0.049521479431033216
0,9,34,,0.0,0,0.0
0,9,35,,0.0,0,0.0
0,9,36,,0.0,0,0.0
0,9,37,227124.0,-0.8,10,0.0
0,9,38,227125.0,-1.5144644310525692,10,0.7144644310525692
0,9,39,,0.0,0,0.0
0,10,30,,0.0,0,0.0
0,10,31,227126.0,-0.8,10,0.0
0,10,32,227127.0,-0.8,10,0.0
0,10,33,227128.0,-0.8,10,0.0
0,10,34,,0.0,0,0.0
0,10,35,,0.0,0,0.0
0,10,36,,0.0,0,0.0
0,10,37,227129.0,-0.8,10,0.0
0,10,38,227130.0,-1.4805285170568119,10,0.6805285170568118
0,10,39,,0.0,0,0.0
0,11,30,,0.0,0,0.0
0,11,31,227131.0,-0.8,10,0.0
0,11,32,227132.0,-0.8,10,0.0
0,11,33,227133.0,-0.8,10,0.0
0,11,34,,0.0,0,0.0
0,11,35,,0.0,0,0.0
0,11,36,,0.0,0,0.0
0,11,37,227134.0,-0.8,10,0.0
0,11,38,227135.0,-0.6296132296967626,10,0.0
0,11,39,,0.0,0,0.0
0,12,30,,0.0,0,0.0
0,12,31,227136.0,-0.8,10,0.0
0,12,32,227137.0,-0.8,10,0.0
0,12,33,227138.0,-0.8,10,0.0
0,12,34,,0.0,0,0.0
0,12,35,,0.0,0,0.0
0,12,36,,0.0,0,0.0
0,12,37,227139.0,-0.8,10,0.0
0,12,38,227140.0,0.5105206182829136,10,0.0
0,12,39,,0.0,0,0.0
0,13,30,,0.0,0,0.0
0,13,31,227141.0,-0.8,10,0.0
0,13,32,227142.0,-0.8,10,0.0
0,13,33,227143.0,-0.8,10,0.0
0,13,34,,0.0,0,0.0
0,13,35,,0.0,0,0.0
