episode,epoch,publisher,trans_id,reward,delay_steps,total_expense
0,0,30,,0.0,0,0.0
0,0,31,233880.0,-1.4775524310518804,10,1.3775524310518803
0,0,32,233881.0,-1.1,20,1.0
0,0,33,,0.0,0,0.0
0,0,34,,0.0,0,0.0
0,0,35,233882.0,-0.1,10,0.0
0,0,36,,0.0,0,0.0
0,0,37,,0.0,0,0.0
0,0,38,233883.0,-0.1,10,0.0
0,0,39,,0.0,0,0.0
0,1,30,233884.0,-0.1,10,0.0
0,1,31,233885.0,-0.9196011067078799,10,0.8196011067078799
0,1,32,233886.0,1.9,20,1.0
0,1,33,,0.0,0,0.0
0,1,34,,0.0,0,0.0
0,1,35,233887.0,-0.1,10,0.0
0,1,36,,0.0,0,0.0
0,1,37,,0.0,0,0.0
0,1,38,233888.0,-0.1,10,0.0
0,1,39,,0.0,0,0.0
0,2,30,233889.0,-0.1,10,0.0
0,2,31,233890.0,-0.5520879646619846,10,0.45208796466198464
0,2,32,233891.0,-1.1,20,1.0
0,2,33,,0.0,0,0.0
0,2,34,,0.0,0,0.0
0,2,35,233892.0,-0.1,10,0.0
0,2,36,,0.0,0,0.0
0,2,37,,0.0,0,0.0
0,2,38,233893.0,-0.1,10,0.0
0,2,39,,0.0,0,0.0
0,3,30,233894.0,-0.1,10,0.0
0,3,31,233895.0,-0.27758877832061557,10,0.17758877832061554
0,3,32,233896.0,-1.1,20,1.0
0,3,33,,0.0,0,0.0
0,3,34,,0.0,0,0.0
0,3,35,233897.0,-0.1,10,0.0
0,3,36,,0.0,0,0.0
0,3,37,,0.0,0,0.0
0,3,38,233898.0,-0.1,10,0.0
0,3,39,,0.0,0,0.0
0,4,30,233899.0,-0.1,10,0.0
0,4,31,233900.0,-0.1,10,0.0
0,4,32,233901.0,0.8999999999999999,20,1.0
0,4,33,,0.0,0,0.0
0,4,34,,0.0,0,0.0
0,4,35,233902.0,-0.1,10,0.0
0,4,36,,0.0,0,0.0
0,4,37,,0.0,0,0.0
0,4,38,233903.0,-0.1,10,0.0
0,4,39,,0.0,0,0.0
0,5,30,233904.0,-0.1,10,0.0
0,5,31,233905.0,-0.1,10,0.0
0,5,32,233906.0,1.9,20,1.0
0,5,33,,0.0,0,0.0
0,5,34,,0.0,0,0.0
